puuid,leaguePoints,wins,losses,tier
ip_kj6MmO_PL0UxS4etfGOS52TG28bKi_gXURHZWsGDd9DIuL78mGNzdQE7jyoaHNbvXCWLgbknrKg,1270,155,64,CHALLENGER
3rHG_pe_2pEHm163e74B2enk3IXDxqlniyyf-miSTwFXTMPwI7FpTGS0mCLewhflpd8t1tUStLuEMw,1264,267,191,CHALLENGER
zHCHSDouOKRjR7lSorpd0afzUHFgysTrxP67Yae7NgAB2ZFae6nL9l3SpxBidN2I4TI1qEeO_Tnpgw,1261,446,379,CHALLENGER
_HfG_su1Svgd42gM-MFQ55PVGYVO2y4jc7MV4LFUYmBfq7KhtMqFuOtGCnpBIO9YNuEGrsijU6hAow,1260,184,138,CHALLENGER
88-5Pt8-srYs1u2fXl_JjVJF1idrdjHdFIwSmGkHnjHiOKLV-LQlgm1DEkxP0AxYWfrB3KNHZcBHNQ,1253,108,40,CHALLENGER
W2yMMkroWQ7phUzTMoO3oP4xfSgZ28VrmWUdeCmUh_4OtnJQhXTxzV-T-3QU4_00aXsGfjLoqqOnyQ,1251,250,167,CHALLENGER
2MFUqBOCCfqt_Yx2NK-Re_f70ERu7sJvLz4OjDFnoSvxnjL5WG2x6vYMmoQElAsS0G8JAD3wKhQaNA,1249,299,223,CHALLENGER
7hly7tLdCt4fTGSulbvkDY4wA_DtuTSyRQjyUgphYz4e3jMZDMH3D5Mc9ItjldwDt5e-jRn297DSeA,1239,261,208,CHALLENGER
9qeF_oGZ9FBxRSf8E3ZYe2HAB6jUfaRiD1dnULzrvw6oQiDCAGKsVzTc7iO2TPddTeM5ei7-49J83w,1236,371,327,CHALLENGER
v7-L8hIx2pjqszp0yKMi1e1ppdWUdHUF7X_P2zMyqt2toLNAT7lGe8FMLP83GDf5OnPbbkHlscKKaA,1234,313,220,CHALLENGER
dHC4n6swM_SlqB5Ldl9YoqfMWc1V4gsO6rRkAzB1901JupNdSQtf7HR3WLKlyBz5RxjdU_cjdsENsA,1232,371,314,CHALLENGER
BxEICCEaK6HF5iDUfSp_zWA3KAW5IwsP4wH4uYxXGuGQ1PNsjIC2qDzQEHEPr0STK0Mqj3R5ERx9eQ,1229,326,254,CHALLENGER
IKhVmOa03USUTDLndAtPSHMAjqyFJzMnHUSQrENFFoQQ9TRH3y_sJqSUdgc98z5hJ8huo_-Eb9mUPg,1229,225,161,CHALLENGER
H4xOZIscBNNcMyEOnK63SQj3omqrxz8_FATVFxr0XadGYnNWH1eeul-C23LT4B0TYJ-HPfqbUFqjtQ,1227,282,214,CHALLENGER
yBlsjEFHAVJQMdXBSJIcM9RgvN9ucipBftEMHjnJSOY4RmIyBV3wFBXYSfotEIPZaMoqDgdyu68ITQ,1224,313,224,CHALLENGER
CgIv7p4A4XgsI3TucBczL1HFMsmh7_vNwrv4IWmwYxdok17DG9YsHKgu5Bj8yG6KHZZ_zsAPzZvpPw,1224,253,184,CHALLENGER
aBAZZ7IpWzNSK16yqgPtN4lZ9THfn5eIEYqcZ0avqIqqVduU-ezmJ-IyrWPyxqQ7bjbPTOWsVwkJEg,1223,312,272,CHALLENGER
zL1cYj19v3np4mWjIdOEDZKokQuEuORZpqA8dxtQ1bX6zghU-8wpTBg9xr95QsqxCXHCdxEe2oBQkQ,1218,452,354,CHALLENGER
dDtKhWLiW_6KiCspaeS_rNh1GVZKP0bxjBjvqyMkELUevWVuD36c607byPuPTpOBA-uWHZ1JTqW1Rg,1217,408,361,CHALLENGER
Ex7j86zpJAYq5RS2nVDcsnjeO_KLOFcKjlh1URxOhqMT-ZaCsfPv3cXEYnf63Efg3ICjHYyzfu5AoA,1213,175,112,CHALLENGER
iAxoMT2VI2gvh6eMJPw2b3764Rq4qFHZheY8i-i1xO1cY1pgXe7e8xVNQdmKXN_ooVXZINFwgibwfQ,1213,333,286,CHALLENGER
F0K-k4tWfz6p7gMBqon96qbDV1YYjgbv34rCFrNjlpJxdKxJ3Hg8xk5lkBSGOu3cxj2xYGNjGRtxBA,1212,441,381,GRANDMASTER
XnrWIdGlVT-2SH5Ak2hK0IPjEvEIyl_XVTq7WHDxT6EOYQ4HnAw1HWnwLcjy1pM1mENZgMTN6bOXQA,1211,180,128,CHALLENGER
Hf3x-dXhJcu2WS8_bwt9mXxUF3K2VhLA7saHNAcC2sB8bsBvUrkC5oEft7j7mfQTY6T4uFZVf6yXOw,1211,293,226,CHALLENGER
C5eF-SczMu_1FVgUpmplZ8e5f2PneoQAYn3TmMNHExkYR6X3vJ-Zzh9KoKzMwHQaNkCHlz4eL8xPVQ,1207,398,388,CHALLENGER
zcAFfnlzRAOXxduAd-OnrZg096UnaSibFQa2JnDATKuQdggbw1DiI0koqwSGqXpF7bb7zr8AKPupaA,1206,166,131,CHALLENGER
J0wcHd0GHOwekKI75XbMRTxeX0V_-LYNkPajeEuLqeoMw4MWi9Jh_VrreOoVn-wa636-AFyGAYibYw,1205,658,592,CHALLENGER
_u9N1T1hqWEdFGASyOLG01pATaBnQpnhoqvbh15DcaGNjE6Q3NzDHUgYXqcYblCJcwHJW2j6-KPwjw,1205,111,51,CHALLENGER
Yb6nllID32aS38mVRMyAJYFkOmQRt77Ol1BIHsRZrwFdV0dU5yuFWSlD9bvUEO07P0plWAkN56KYIw,1205,590,480,CHALLENGER
-sSge-VMUGCJHVC1X9aKUe28PCI2B03fw1iFZQe2NCkGbTTnAmhMZjkaXx1ICAI_IkJLTIw2Xq50SQ,1203,254,198,CHALLENGER
z5WsNq-Ki4J8HvAWe3333eaEtoj9b0tnY81k35PL6PkB4LJ21e3eEoY85E6lR3ZI_DVWV-jX3uWCoQ,1199,288,233,CHALLENGER
yWKrQS3CMB0HBDqX5VcqaEShaeoSLm7ETN3qmj50B-6o0r37HMWX2-rGzcObNoXA2EwPFpv86fiWDQ,1199,120,59,CHALLENGER
_eglmVML0_3ga6ZqBTEjWw0MfFu_M8G5poeSs7jHv_1wD_Ne6oHwec4A1b0QerEBzOPYwghtOaEglw,1198,142,72,CHALLENGER
img6nAygLkaEN6ZLU7ZGyRPAS5aPTJnhWgJy6MLqKvvjKfP8uaZnCGywM8Crs_KS2CKFBKM15sKj9A,1194,303,253,CHALLENGER
vbsGb5v6n2yV-Um5ZG2qMWFs3lu4YtyJdOctqmyqocE3FF_yJlvfa5UzGrEWnzngOv87yA-AD5FRHQ,1194,400,351,CHALLENGER
fT-3HiGp4kUwADWNcUxW5BqZEmpgAuaDC0l653U7ZBec0rolpiNtO8qzIfA0QJpoKignpETVaFiy7g,1194,197,118,CHALLENGER
mCZI6AfvoU1h0mUoCm-MlpAp6JZfWD3r6Dw7w-eO7wRk3SttFOqliu5N32CY0klz9jFt7CUThyeLVA,1190,441,340,CHALLENGER
y16g43MpU1KqxIXwEZ_Oi3LNXXs7t0UdboWBlSqD91izKm38e1UZnICoILM-DmZ5TjkQVEioHZYDrA,1187,385,295,CHALLENGER
Ar1i5zQvXmrYrJJ0OKcfDaEFHZ8PHPYBSqzWppmZ6WzTjiRuJUl_6eb4uZS3Gr37UanKUIc19PSAHA,1186,521,472,CHALLENGER
vciqfIKPqBcegzUHi4aKo-6dsFdOtH5xENffwvCZogN45AbeMYOpB2W0Dr94LHyiKMPBz8qIRjUYCg,1186,598,546,CHALLENGER
wHl3XLEKMFD_4kSYFjnWARx4OP8yp7vnSp61AWdq5l2dP9W78gJJfAoEC4ALdlEDAt-Q8Fp7aiHkSw,1186,208,138,CHALLENGER
4PvNDIJT-mUavsWC5m9O0b_uNT7oFT8Vc55B_kWze6UxjGaBF2M0syr9nbzCDFgV0meVygZUtrRMaA,1185,216,181,CHALLENGER
arV7l1liOcC-gGrXi5ifPGPA1tWjIVPM32nA37Sh13wGT_JH1jV2fE9yIub36Vhiq2_fbxvhSiobZQ,1185,338,260,CHALLENGER
gqrF3q3y1AyH4SepzEXbNr7Cl_gtsKyny_darrk3z0KZruiOo58BQNXJGo5N6wBybAMtiAfjZnGgSQ,1183,188,144,CHALLENGER
0Anbr8BqVmwElfY_VmPh3Bml2SEdsdGEpfrrbwMACi-ICJAy0vOmerTbW32BCmqxKI9SuCXazWcfgw,1182,331,230,CHALLENGER
ulEiryHSrvjrq96PDY2mOO78E8Dpxc7b1ePjltYPXAsSWGaREJz71c-57E_xnP2DcdZ1wg8uSRSsGg,1181,355,273,CHALLENGER
WR5isj-EkBMKhlDZoUY6sy1QhsLlsUtEF1Vrj2fJufdOyFZFtXvZDq-RvPGl7HZa87eIegBJGSu9oQ,1181,223,187,CHALLENGER
